date,GLD,IEF,SPY,USO,UUP
2008-06-24,0.004363,0.005314,-0.001978,0.00027,-0.002629
2008-06-25,-0.000572,-0.000115,0.004726,-0.022082,-0.004833
2008-06-26,0.036491,0.005631,-0.02716,0.042581,-0.006181
2008-06-27,0.009491,0.004914,-0.005459,0.005569,-0.00311
2008-06-30,-0.000765,0.000682,0.003529,-0.000791,0.002228
2008-07-01,0.013786,-0.006023,0.003126,0.008182,-0.000889
2008-07-02,0.005504,0.002401,-0.017137,0.019635,-0.004895
2008-07-03,-0.011914,0.000342,0.00103,-0.000171,0.009839
2008-07-07,-0.009016,0.004673,-0.010213,-0.016008,-0.000886
2008-07-08,-0.004056,0.002498,0.017757,-0.043758,0.004433
2008-07-09,0.007044,0.004754,-0.019255,-0.002456,-0.007061
2008-07-10,0.022186,0.000338,0.004087,0.042772,-0.000889
2008-07-11,0.017428,-0.009348,-0.011652,0.026675,-0.006673
2008-07-14,0.007881,0.005343,-0.009044,0.000767,-0.001791
2008-07-15,0.002711,0.003619,-0.014097,-0.043327,-0.000897
2008-07-16,-0.017989,-0.009127,0.024547,-0.027938,0.004939
2008-07-17,-0.00233,-0.004776,0.010003,-0.03405,0.001787
2008-07-18,-0.000531,-0.003428,0.00623,-0.010329,0.0
2008-07-21,0.010088,0.002293,0.000556,0.021352,-0.003568
2008-07-22,-0.021657,-0.003432,0.011345,-0.031405,0.007162
2008-07-23,-0.026757,-0.001607,0.005413,-0.03194,0.004
2008-07-24,0.008391,0.008623,-0.020754,0.014397,-0.000885
2008-07-25,0.003942,-0.005813,-0.000239,-0.021585,0.001329
2008-07-28,0.000436,0.005733,-0.014664,0.012793,-0.002212
2008-07-29,-0.012428,-0.00285,0.021352,-0.024866,0.008426
2008-07-30,-0.011811,0.001944,0.017818,0.041718,-0.00088
2008-07-31,0.006256,0.007987,-0.013226,-0.020954,0.0
2008-08-01,-0.005662,-0.002943,-0.005283,0.010501,0.003081
2008-08-04,-0.015965,-0.000681,-0.009274,-0.034838,0.000439
2008-08-05,-0.023372,-0.005112,0.026962,-0.019791,0.007456
2008-08-06,0.006506,0.000343,0.004441,-0.001778,0.003048
2008-08-07,-0.006348,0.009361,-0.014892,0.010691,0.005208
2008-08-08,-0.019282,-0.000452,0.018581,-0.038989,0.015976
2008-08-11,-0.039086,-0.004865,0.010358,-0.001834,0.005525
2008-08-12,-0.007519,0.006936,-0.010405,-0.011026,-0.002113
2008-08-13,0.012916,-0.002145,-0.00603,0.024702,0.0
2008-08-14,-0.027097,0.003055,0.007544,-0.010773,0.00593
2008-08-15,-0.021676,0.003723,0.004863,-0.010136,0.007579
2008-08-18,0.015072,0.002473,-0.013674,-0.005882,-0.002925
2008-08-19,0.020723,-0.001458,-0.010904,0.016217,-0.00461
2008-08-20,-0.004637,0.002918,0.004646,0.013371,0.002947
2008-08-21,0.027979,-0.002126,0.001724,0.04501,-0.011335
2008-08-22,-0.014824,-0.002917,0.014476,-0.057733,0.010191
2008-08-25,-0.00185,0.006639,-0.020285,0.006051,-0.00042
2008-08-26,0.003707,0.000335,0.002913,0.008593,0.005887
2008-08-27,0.0016,0.001453,0.009734,0.018743,-0.002926
2008-08-28,0.010079,-0.001451,0.012128,-0.02373,0.003354
2008-08-29,-0.005719,-0.001229,-0.010754,-0.005568,0.000418
2008-09-02,-0.030718,0.002125,-0.006212,-0.039625,0.009607
2008-09-03,-0.003914,0.002457,-0.000859,-0.008409,-0.000827
2008-09-04,-0.006338,0.005012,-0.030106,-0.016056,0.007868
2008-09-05,0.007527,-0.002194,0.003144,-0.011032,0.003698
2008-09-08,-0.001519,8.9e-05,0.020656,-0.001511,0.005321
2008-09-09,-0.030053,0.004553,-0.029687,-0.041662,0.000407
2008-09-10,-0.029677,-0.002543,0.004058,0.007529,0.006512
2008-09-11,-0.01536,-0.001773,0.014468,-0.017838,0.002831
2008-09-12,0.033799,-0.004996,0.004621,0.0,-0.018952
2008-09-15,0.026605,0.019192,-0.047585,-0.063689,-0.009042
2008-09-16,-0.009928,-0.002846,0.016737,-0.017169,0.014517
2008-09-17,0.112905,0.009003,-0.044963,0.033471,-0.021668
2008-09-18,-0.031126,-0.011752,0.029672,0.021548,0.004179
2008-09-19,0.038406,-0.017838,0.03373,0.043703,-0.007907
2008-09-22,0.037218,-0.00213,-0.022639,0.06039,-0.022651
2008-09-23,-0.009643,0.0,-0.022752,-0.017005,0.006438
2008-09-24,-0.018229,0.002584,0.003205,-0.014745,0.009808
2008-09-25,-0.002999,-0.003026,0.015639,0.021565,-0.001689
2008-09-26,0.002198,-0.000674,0.000497,-0.005537,4.2e-05
2008-09-29,0.033818,0.013947,-0.078362,-0.105788,0.007572
2008-09-30,-0.05024,-0.0132,0.04139,0.063822,0.026029
2008-10-01,0.01058,0.003597,0.000603,-0.029509,0.004092
2008-10-02,-0.04234,0.0056,-0.036274,-0.047368,0.013855
2008-10-03,0.003158,0.003787,-0.0135,-0.007518,-0.004023
2008-10-06,0.020463,0.0081,-0.050933,-0.048372,0.011909
2008-10-07,0.035477,-0.00077,-0.044786,0.012289,-0.006979
2008-10-08,0.024636,-0.012778,-0.025192,-0.003173,-0.003213
2008-10-09,0.005368,-0.010042,-0.069839,-0.036812,0.005238
2008-10-10,-0.074305,-0.011722,-0.024256,-0.04454,0.001603
2008-10-13,-0.01478,-0.006843,0.145198,0.019248,-0.0008
2008-10-14,0.002561,-0.004708,-0.0148,-0.040572,-0.0004
2008-10-15,0.013504,0.008192,-0.098448,-0.066123,0.011619
2008-10-16,-0.048253,0.000229,0.041657,-0.022888,0.005148
2008-10-17,-0.026233,0.006293,-0.005972,0.000506,0.001576
2008-10-20,0.016708,0.001023,0.060079,0.04093,0.007868
2008-10-21,-0.031503,0.010563,-0.029855,-0.049029,0.016393
2008-10-22,-0.056782,0.007643,-0.054454,-0.065339,0.011905
2008-10-23,-0.014782,0.001338,0.011584,0.030402,-0.005693
2008-10-24,0.022081,-0.004233,-0.050714,-0.063604,0.025954
2008-10-27,-0.000415,-0.000559,-0.035501,-0.040566,0.0
2008-10-28,0.022305,-0.008059,0.116855,0.046608,-0.011533
2008-10-29,0.002846,0.001467,-0.007253,0.046223,-0.016184
2008-10-30,-0.017432,-0.007662,0.034594,-0.030172,-0.001148
2008-10-31,-0.018842,-0.002044,0.005504,0.029444,0.014937
2008-11-03,-0.003364,-0.002048,0.002892,-0.055765,0.004902
2008-11-04,0.061584,0.011971,0.033982,0.093161,-0.021021
2008-11-05,-0.035488,0.005295,-0.042028,-0.061694,0.003448
2008-11-06,-0.007967,-0.003026,-0.055411,-0.068536,0.014144
2008-11-07,0.003877,-0.003597,0.033018,-0.002193,-0.002262
2008-11-10,0.014897,0.001015,-0.013105,0.023781,0.000756
2008-11-11,-0.020794,0.003719,-0.030876,-0.060902,0.015478
2008-11-12,-0.028453,0.006176,-0.044001,-0.049054,0.00223
2008-11-13,0.030714,-0.007254,0.06234,0.071038,-0.015949
2008-11-14,0.015939,0.009892,-0.049907,-0.057551,0.008292
2008-11-17,-0.008868,0.00423,-0.013276,-0.022087,-0.000748
2008-11-18,-0.001927,0.007759,0.018837,-0.008636,0.002993
2008-11-19,-0.003448,0.010779,-0.064079,-0.033728,0.003432
2008-11-20,0.016468,0.020131,-0.074233,-0.08576,0.006617
2008-11-21,0.073519,-0.009173,0.053943,0.036662,-0.004801
2008-11-24,0.026126,-0.009366,0.069291,0.076341,-0.02449
2008-11-25,-0.000494,0.01717,0.007409,-0.062769,-0.011792
2008-11-26,-0.006059,0.00609,0.038641,0.076886,0.011162
2008-11-28,-0.000871,0.002018,0.012588,-0.055007,0.010658
2008-12-01,-0.058025,0.010174,-0.088578,-0.052269,0.00565
2008-12-02,0.017184,0.005245,0.038485,-0.034846,-0.005618
2008-12-03,-0.010006,0.001565,0.024041,-0.011688,0.001507
2008-12-04,-0.008926,0.006252,-0.023133,-0.069382,-0.002633
2008-12-05,-0.01298,-0.010562,0.030832,-0.032759,0.004148
2008-12-08,0.022477,-0.003768,0.034914,0.054599,-0.016898
2008-12-09,0.001772,0.008509,-0.016484,-0.046235,0.00267
2008-12-10,0.044805,-0.000937,0.006816,0.039478,-0.005711
2008-12-11,0.011285,0.006047,-0.024082,0.079028,-0.022222
2008-12-12,0.001984,0.002798,0.01194,-0.013975,-0.002351
2008-12-15,0.022151,0.00217,-0.013934,-0.033045,-0.023947
2008-12-16,0.022518,0.015881,0.047065,-0.010885,-0.024157
2008-12-17,0.011485,0.006801,-0.009687,-0.044731,-0.011959
2008-12-18,-0.018261,0.006755,-0.018683,-0.059753,0.017112
2008-12-19,-0.014785,-0.003305,-0.012319,0.010083,0.015265
2008-12-22,0.010045,-0.002612,-0.012813,-0.073503,-0.000566
2008-12-23,-0.009945,-0.000504,-0.010338,-0.020568,-0.000728
2008-12-24,0.010045,-0.001008,0.005803,-0.032533,-0.000405
2008-12-26,0.025641,0.005348,0.00577,0.002619,-0.005263
2008-12-29,0.008762,-0.001505,-0.002868,0.062543,0.004884
2008-12-30,-0.005211,0.001407,0.023703,-0.023286,-0.004455
2008-12-31,0.007218,-0.011041,0.014274,0.096026,0.004475
2009-01-02,-0.003352,-0.01431,0.030142,0.076435,0.009311
2009-01-05,-0.020295,-0.00175,-0.001183,0.046871,0.010839
2009-01-06,0.007694,-0.000619,0.006677,-0.00134,-0.001588
2009-01-07,-0.027957,0.000206,-0.029956,-0.106846,-0.006362
2009-01-08,0.020665,0.002683,0.004103,-0.002104,-0.010004
2009-01-09,-0.006394,0.004631,-0.021441,-0.025,0.01536
2009-01-12,-0.037655,0.006249,-0.024021,-0.053136,0.004777
2009-01-13,0.001486,0.000713,0.00184,0.038825,0.01145
2009-01-14,-0.013477,0.005595,-0.031454,-0.019158,0.003956
2009-01-15,0.00752,-0.000809,0.000356,-0.033621,-0.00039
2009-01-16,0.028859,-0.009213,0.00782,-0.010603,-0.008587
2009-01-20,0.021884,-0.001533,-0.052786,-0.040188,0.02874
2009-01-21,-0.004378,-0.008904,0.043192,0.082694,-0.008802
2009-01-22,0.00511,-0.006609,-0.015467,-0.032549,-0.000772
2009-01-23,0.046701,0.000208,0.00435,0.076949,-0.000386
2009-01-26,0.004744,-0.002494,0.006858,-0.005877,-0.013143
2009-01-27,-0.006408,0.006564,0.010158,-0.082141,-0.001175
2009-01-28,-0.010919,-0.006387,0.033834,0.008475,0.003529
2009-01-29,0.023852,-0.013053,-0.032498,-0.017815,0.007816
2009-01-30,0.020223,-0.000422,-0.020343,0.0,0.006204
2009-02-02,-0.027051,0.00528,-0.003018,-0.028063,-0.000771
2009-02-03,-0.004165,-0.008613,0.014047,0.016549,-0.012341
